Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,1.59442E+13,1.47128E+13,1.99455E+13,2.14538E+13,1.98445E+13,2.34379E+13,2.18453E+13,2.40467E+13,2.16461E+13,2.69723E+13,2.76445E+13,2.54141E+13,2.84763E+13,2.86262E+13,2.9486E+13,2.77394E+13,2.7612E+13,2.62366E+13,2.47188E+13,2.82015E+13,2.92969E+13,2.70706E+13,2.68858E+13
Albania,4.84647E+12,4.62331E+12,4.65389E+12,4.62325E+12,4.6215E+12,4.67332E+12,4.72209E+12,4.77181E+12,4.7577E+12,4.76905E+12,4.98824E+12,5.33846E+12,5.26852E+12,5.30541E+12,5.39051E+12,5.48723E+12,5.56467E+12,5.50261E+12,5.21092E+12,5.1351E+12,5.06042E+12,5.10657E+12,5.00198E+12
Algeria,1.63288E+13,1.99595E+13,1.88174E+13,2.40521E+13,2.41735E+13,2.35791E+13,2.50768E+13,2.41361E+13,2.0324E+13,2.86935E+13,2.75406E+13,2.87162E+13,3.12197E+13,3.17328E+13,2.93031E+13,3.05307E+13,2.98326E+13,2.98824E+13,3.53057E+13,3.49559E+13,3.28154E+13,2.95593E+13,3.36172E+13
Angola,1.19455E+13,1.26552E+13,1.33569E+13,1.36536E+13,1.40704E+13,1.53721E+13,1.52597E+13,1.61934E+13,1.68831E+13,1.92986E+13,2.02193E+13,2.18876E+13,1.8943E+13,2.41277E+13,2.33844E+13,2.44507E+13,2.55156E+13,2.56505E+13,2.65603E+13,2.7229E+13,2.81594E+13,2.85768E+13,2.95396E+13
Antigua and Barbuda,48542790982,49839493889,50807962038,51762280955,52810597086,51077507914,51763690939,52884796696,52793957735,51852626475,30316921233,30190718963,29689012392,29473265378,29402230077,29617030012,29193696327,28786264538,27101226317,24249809117,23482760334,22988640125,22883626218
Argentina,2.648E+14,2.71512E+14,2.80699E+14,2.94875E+14,2.94408E+14,3.28724E+14,3.16588E+14,3.53033E+14,3.57133E+14,2.78269E+14,3.36332E+14,3.62136E+14,3.30154E+14,3.6822E+14,3.77381E+14,4.21022E+14,4.3066E+14,4.72559E+14,3.97183E+14,5.01777E+14,4.84965E+14,4.87231E+14,4.9202E+14
Armenia,1.75611E+12,2.01815E+12,2.19194E+12,2.07232E+12,2.50489E+12,2.5627E+12,2.31537E+12,2.94505E+12,3.43573E+12,3.3843E+12,3.20063E+12,3.68921E+12,3.88332E+12,4.02858E+12,4.22923E+12,4.39794E+12,4.24549E+12,3.61845E+12,3.46571E+12,3.14318E+12,3.30017E+12,2.90194E+12,2.95105E+12
Australia,2.38038E+14,2.29909E+14,2.36693E+14,1.90413E+14,2.44132E+14,2.30151E+14,2.40212E+14,1.90054E+14,2.03324E+14,2.19079E+14,2.12949E+14,2.30179E+14,2.39476E+14,2.30977E+14,2.38045E+14,2.31118E+14,2.2001E+14,2.5985E+14,2.24824E+14,2.05446E+14,1.90763E+14,2.50274E+14,2.63263E+14
Austria,2.44511E+13,2.51886E+13,2.55256E+13,2.45469E+13,2.67844E+13,2.60918E+13,2.55728E+13,2.67163E+13,2.92418E+13,2.68914E+13,2.65327E+13,2.89187E+13,2.64951E+13,2.5991E+13,2.8763E+13,2.61042E+13,2.80661E+13,2.64212E+13,2.54743E+13,2.62648E+13,2.67542E+13,2.68808E+13,2.45018E+13
Azerbaijan,8.13573E+12,9.23212E+12,9.96567E+12,1.00347E+13,1.03381E+13,1.06931E+13,1.08246E+13,1.09014E+13,1.20674E+13,1.34496E+13,1.18243E+13,1.28767E+13,1.36582E+13,1.42755E+13,1.32714E+13,1.45764E+13,1.47907E+13,1.47143E+13,1.56665E+13,1.63285E+13,1.59034E+13,1.61484E+13,1.5816E+13
Bahamas,1.38581E+11,1.46507E+11,1.40088E+11,1.50895E+11,1.55294E+11,1.46559E+11,1.51633E+11,1.58659E+11,1.58227E+11,1.52813E+11,1.63641E+11,1.65408E+11,1.66137E+11,1.677E+11,1.67961E+11,1.71317E+11,1.71112E+11,1.70888E+11,1.7191E+11,1.73345E+11,1.7175E+11,1.71632E+11,1.71769E+11
Bangladesh,1.40983E+14,1.3636E+14,1.40211E+14,1.42564E+14,1.35793E+14,1.47483E+14,1.50096E+14,1.59448E+14,1.72387E+14,1.74178E+14,1.81078E+14,1.83669E+14,1.84415E+14,1.89677E+14,1.93353E+14,1.94357E+14,1.90851E+14,2.04703E+14,2.05571E+14,2.06446E+14,2.0954E+14,2.14722E+14,2.17805E+14
Barbados,3.88969E+11,3.32965E+11,3.22668E+11,2.99851E+11,3.10545E+11,3.47466E+11,3.00177E+11,3.07607E+11,2.88188E+11,3.09553E+11,2.70819E+11,2.80811E+11,2.52995E+11,2.16337E+11,2.14319E+11,2.07096E+11,1.95105E+11,2.2126E+11,2.34235E+11,2.03267E+11,2.00885E+11,1.97131E+11,2.08189E+11
Belarus,2.45868E+13,2.53105E+13,2.65978E+13,2.55505E+13,3.00487E+13,2.90733E+13,2.92957E+13,3.2141E+13,3.68851E+13,3.6581E+13,3.39742E+13,3.69923E+13,4.26066E+13,3.94592E+13,4.42184E+13,4.09287E+13,3.9211E+13,4.21373E+13,3.94608E+13,4.15939E+13,4.4162E+13,4.07827E+13,4.10667E+13
Belgium,2.4934E+13,2.38626E+13,2.51615E+13,2.42899E+13,2.52607E+13,2.44267E+13,2.40797E+13,2.40447E+13,2.38386E+13,2.46029E+13,2.42498E+13,2.46683E+13,2.42556E+13,2.42009E+13,2.46177E+13,2.45652E+13,2.2445E+13,2.42455E+13,2.29916E+13,2.35748E+13,2.2826E+13,2.2484E+13,2.27859E+13
Belize,1.21482E+12,1.1901E+12,1.17467E+12,1.17127E+12,1.25139E+12,1.24512E+12,1.25022E+12,1.30818E+12,1.21622E+12,1.2574E+12,1.33445E+12,1.19954E+12,1.40222E+12,1.39382E+12,1.39284E+12,1.36854E+12,1.43791E+12,1.66245E+12,1.58014E+12,1.55287E+12,1.53847E+12,1.7956E+12,1.75722E+12
Benin,8.50018E+12,8.67508E+12,9.35757E+12,9.31663E+12,9.57346E+12,9.59874E+12,9.45886E+12,9.69935E+12,1.03392E+13,1.16464E+13,1.10756E+13,1.19345E+13,1.23331E+13,1.3412E+13,1.33094E+13,1.27321E+13,1.38336E+13,1.4446E+13,1.65804E+13,1.62874E+13,1.62895E+13,1.69066E+13,1.68467E+13
Bhutan,2.54833E+12,2.54749E+12,2.53271E+12,2.59942E+12,2.72749E+12,2.91345E+12,2.89744E+12,2.99865E+12,2.95155E+12,2.87031E+12,2.91843E+12,3.01045E+12,2.96995E+12,3.00753E+12,3.02149E+12,3.01812E+12,3.07207E+12,3.10839E+12,3.01818E+12,2.97912E+12,2.96948E+12,2.93618E+12,2.89111E+12
Bolivia,3.06952E+13,3.04575E+13,3.17286E+13,3.32722E+13,3.3731E+13,3.56625E+13,3.73327E+13,3.82366E+13,3.91823E+13,4.28772E+13,4.13065E+13,4.27493E+13,4.57244E+13,4.7622E+13,4.724E+13,4.88642E+13,4.89994E+13,4.77682E+13,5.16287E+13,5.14338E+13,5.20678E+13,5.54682E+13,5.38819E+13
Bosnia and Herzegovina,4.88235E+12,5.18907E+12,5.70106E+12,4.7259E+12,6.40833E+12,6.19233E+12,6.51162E+12,5.70276E+12,6.65003E+12,6.61578E+12,6.2522E+12,6.38024E+12,5.8471E+12,6.71112E+12,6.10461E+12,6.38169E+12,7.58476E+12,6.41778E+12,7.84675E+12,7.62272E+12,8.24956E+12,6.40101E+12,6.69047E+12
Botswana,4.57278E+12,4.41346E+12,3.79693E+12,3.75598E+12,3.82041E+12,4.01696E+12,4.06141E+12,3.98247E+12,4.16953E+12,4.48162E+12,4.78273E+12,4.71026E+12,4.13948E+12,3.85401E+12,3.20256E+12,3.25046E+12,2.99047E+12,2.34879E+12,2.46731E+12,2.2062E+12,2.43889E+12,2.41117E+12,2.27362E+12
Brazil,8.05789E+14,8.54551E+14,8.84438E+14,9.80217E+14,9.92121E+14,9.87859E+14,1.0207E+15,1.08004E+15,1.14717E+15,1.14361E+15,1.19607E+15,1.23825E+15,1.2384E+15,1.3131E+15,1.31548E+15,1.35526E+15,1.32496E+15,1.42993E+15,1.40242E+15,1.43479E+15,1.47482E+15,1.47506E+15,1.51461E+15
Brunei Darussalam,2.27228E+11,2.53082E+11,2.38586E+11,2.58283E+11,2.50876E+11,2.33529E+11,2.53172E+11,2.66046E+11,2.60629E+11,2.58882E+11,2.70572E+11,2.73422E+11,2.99992E+11,3.24104E+11,2.99218E+11,2.90771E+11,2.97242E+11,2.83618E+11,3.06916E+11,2.94761E+11,3.19897E+11,3.54715E+11,3.44132E+11
Bulgaria,1.68948E+13,2.15638E+13,2.45995E+13,1.60679E+13,2.82715E+13,2.26984E+13,2.25941E+13,1.59431E+13,2.78422E+13,2.50724E+13,2.96806E+13,3.06905E+13,2.80409E+13,3.65258E+13,3.80673E+13,3.45111E+13,3.56362E+13,3.84841E+13,3.79427E+13,4.08281E+13,3.20694E+13,4.20345E+13,3.65414E+13
Burkina Faso,1.97497E+13,2.23594E+13,2.24196E+13,2.67004E+13,2.6149E+13,2.91883E+13,2.98674E+13,2.91158E+13,3.30863E+13,3.19582E+13,3.46428E+13,3.30385E+13,3.60621E+13,3.68378E+13,3.67797E+13,3.67349E+13,3.80946E+13,3.73203E+13,4.03107E+13,4.09855E+13,3.77443E+13,4.09724E+13,4.2935E+13
Burundi,5.83021E+12,7.01644E+12,7.1168E+12,7.37136E+12,7.26234E+12,7.44074E+12,7.58746E+12,7.78249E+12,8.0361E+12,8.40498E+12,8.68168E+12,8.89562E+12,7.01523E+12,8.57077E+12,7.70924E+12,7.42262E+12,8.18391E+12,8.40201E+12,9.3117E+12,9.20342E+12,8.53999E+12,9.03828E+12,9.14847E+12
Cambodia,1.81052E+13,1.83337E+13,1.7353E+13,2.0881E+13,1.91838E+13,2.50639E+13,2.64901E+13,2.85694E+13,3.06482E+13,3.31503E+13,3.49616E+13,3.73556E+13,3.9748E+13,3.98812E+13,3.95306E+13,3.90016E+13,4.17997E+13,4.6219E+13,4.74659E+13,4.58557E+13,4.62784E+13,5.05422E+13,5.04851E+13
Cameroon,2.1047E+13,2.11305E+13,2.13999E+13,2.21338E+13,2.27552E+13,2.46075E+13,2.56315E+13,2.6727E+13,2.59467E+13,2.71968E+13,2.88905E+13,2.93106E+13,3.0713E+13,3.17455E+13,3.27973E+13,3.40233E+13,3.38728E+13,3.40331E+13,3.49366E+13,3.48645E+13,3.46141E+13,3.4791E+13,3.51974E+13
Canada,2.35078E+14,2.09209E+14,1.97175E+14,2.23539E+14,2.42233E+14,2.46647E+14,2.35335E+14,2.26371E+14,2.45084E+14,2.24435E+14,2.24332E+14,2.33718E+14,2.44728E+14,3.02307E+14,2.57519E+14,2.69871E+14,2.91678E+14,2.92356E+14,2.94313E+14,2.92877E+14,3.0477E+14,2.35823E+14,3.00389E+14
Cape Verde,2.22466E+11,2.25346E+11,1.96907E+11,2.09813E+11,2.14723E+11,2.01036E+11,2.02549E+11,1.97414E+11,2.00767E+11,2.10898E+11,2.15121E+11,2.20076E+11,2.24217E+11,2.27232E+11,2.20088E+11,2.3639E+11,2.30322E+11,2.0393E+11,1.88291E+11,1.90168E+11,1.95686E+11,2.11283E+11,2.12292E+11
Central African Republic,8.64588E+12,8.86478E+12,8.99651E+12,9.09918E+12,9.31055E+12,9.48927E+12,9.75581E+12,1.02149E+13,1.02296E+13,1.04133E+13,1.13288E+13,1.19913E+13,1.2137E+13,1.16598E+13,1.19064E+13,1.21198E+13,1.26516E+13,1.25971E+13,1.28364E+13,1.293E+13,1.33119E+13,1.34607E+13,1.36769E+13
Chad,3.06722E+13,3.32729E+13,3.43398E+13,3.69807E+13,3.76825E+13,4.10476E+13,4.31366E+13,4.5504E+13,4.77584E+13,4.93571E+13,5.64712E+13,5.48359E+13,6.22207E+13,6.33377E+13,6.64772E+13,7.26377E+13,7.75784E+13,8.11429E+13,8.59424E+13,9.02108E+13,9.47376E+13,9.8276E+13,1.04112E+14
Chile,3.48492E+13,3.65281E+13,3.67667E+13,3.65244E+13,3.92204E+13,4.08934E+13,4.04967E+13,4.02893E+13,4.22815E+13,4.07531E+13,4.07456E+13,4.44049E+13,4.37195E+13,4.42829E+13,4.2525E+13,4.38384E+13,4.41343E+13,4.38475E+13,4.56486E+13,4.39827E+13,4.21169E+13,4.19334E+13,3.98209E+13
China,3.33474E+15,3.31817E+15,3.36635E+15,3.21424E+15,3.48219E+15,3.58934E+15,3.73284E+15,3.78043E+15,4.01497E+15,4.04696E+15,4.17108E+15,4.35195E+15,4.51206E+15,4.62309E+15,4.64786E+15,5.00788E+15,4.99909E+15,5.02433E+15,5.01588E+15,5.05752E+15,5.10029E+15,5.19893E+15,5.23251E+15
Colombia,9.03898E+13,9.04035E+13,9.2715E+13,9.51992E+13,9.67019E+13,9.83086E+13,9.73654E+13,9.91629E+13,9.99302E+13,1.00491E+14,9.88223E+13,9.69496E+13,8.94629E+13,9.01125E+13,9.04972E+13,9.06335E+13,9.05693E+13,8.87071E+13,9.71455E+13,1.0261E+14,1.05566E+14,1.08514E+14,1.08584E+14
Costa Rica,1.12155E+13,1.11183E+13,1.05253E+13,1.09172E+13,1.09731E+13,1.11991E+13,1.23282E+13,1.24038E+13,1.21213E+13,1.2202E+13,1.24963E+13,1.26504E+13,1.30682E+13,1.34852E+13,1.33529E+13,1.33166E+13,1.38325E+13,1.40138E+13,1.4254E+13,1.34505E+13,1.34618E+13,1.39133E+13,1.36421E+13
Croatia,1.00998E+13,1.21463E+13,1.33809E+13,9.48209E+12,1.33961E+13,1.36896E+13,1.42549E+13,1.23556E+13,1.69888E+13,1.57914E+13,1.44311E+13,1.41778E+13,1.30053E+13,1.53611E+13,1.48334E+13,1.42034E+13,1.73911E+13,1.39134E+13,1.53731E+13,1.59234E+13,1.71759E+13,1.59049E+13,1.36067E+13
Cte d'Ivoire,1.51644E+13,1.47938E+13,1.48092E+13,1.43866E+13,1.48396E+13,1.50068E+13,1.52493E+13,1.45136E+13,1.52949E+13,1.53474E+13,1.75518E+13,1.66521E+13,1.94191E+13,2.08365E+13,2.21686E+13,2.46363E+13,2.41301E+13,2.50966E+13,2.49848E+13,2.55685E+13,2.48101E+13,2.55963E+13,2.69056E+13
Cuba,3.00798E+13,2.83913E+13,2.92091E+13,2.50011E+13,2.54127E+13,1.88309E+13,1.85502E+13,1.93863E+13,2.066E+13,2.09192E+13,1.92326E+13,2.00157E+13,2.12944E+13,2.20184E+13,2.27126E+13,2.30036E+13,2.30546E+13,2.31832E+13,2.02011E+13,2.1662E+13,1.91361E+13,1.73412E+13,1.6946E+13
Cyprus,9.00649E+11,1.06192E+12,1.11259E+12,1.1265E+12,1.03134E+12,8.90861E+11,8.45818E+11,8.3506E+11,7.00418E+11,7.75503E+11,8.0922E+11,8.40993E+11,8.31148E+11,7.25608E+11,6.39689E+11,8.10982E+11,6.35428E+11,6.96328E+11,6.14665E+11,6.97502E+11,7.58899E+11,6.99293E+11,6.35773E+11
Czech Republic,2.84562E+13,3.17941E+13,2.94373E+13,2.55688E+13,3.64312E+13,3.25724E+13,2.92777E+13,3.18586E+13,3.50498E+13,3.36291E+13,3.07128E+13,3.53534E+13,3.01708E+13,3.38175E+13,3.84164E+13,3.53386E+13,3.77842E+13,3.43598E+13,3.31582E+13,3.63635E+13,3.82711E+13,3.78564E+13,3.65875E+13
Dem. Rep. Korea,1.47742E+13,1.78715E+13,1.89727E+13,1.95606E+13,1.98696E+13,2.022E+13,2.04744E+13,1.80566E+13,2.01703E+13,1.98251E+13,2.00655E+13,2.07638E+13,2.22052E+13,2.22555E+13,2.2604E+13,2.05289E+13,2.15219E+13,2.09423E+13,1.87761E+13,2.38893E+13,2.05949E+13,2.07393E+13,2.05154E+13
Democratic Republic of the Congo,4.02259E+13,4.02999E+13,4.04668E+13,4.09926E+13,4.15655E+13,4.20815E+13,4.26244E+13,4.32374E+13,4.37376E+13,4.4717E+13,5.51128E+13,5.67011E+13,5.76953E+13,5.99924E+13,6.23757E+13,6.30278E+13,6.45082E+13,6.57586E+13,6.68297E+13,6.79022E+13,6.99309E+13,7.18462E+13,7.36843E+13
Denmark,3.326E+13,3.25824E+13,3.12764E+13,3.14084E+13,3.12815E+13,3.14659E+13,2.94429E+13,2.89769E+13,3.06052E+13,3.23157E+13,3.0248E+13,3.03263E+13,3.16236E+13,3.11363E+13,3.25663E+13,3.25953E+13,3.06358E+13,3.27552E+13,2.5596E+13,3.09926E+13,3.09237E+13,2.94663E+13,3.10393E+13
Djibouti,8.83337E+11,8.85925E+11,8.88531E+11,8.9066E+11,8.87811E+11,8.99616E+11,8.835E+11,8.97706E+11,9.00089E+11,9.0463E+11,9.06341E+11,9.08163E+11,9.17282E+11,9.18962E+11,9.22142E+11,9.27351E+11,9.33033E+11,9.48077E+11,9.5844E+11,9.621E+11,9.68253E+11,9.61591E+11,9.5818E+11
Dominica,1.17145E+11,1.03735E+11,1.03116E+11,94934655658,98582082241,95830276082,99978694700,95299525586,1.03434E+11,1.06333E+11,96743233099,1.02017E+11,99389953133,1.01641E+11,99742554143,1.0068E+11,99871409187,99934034000,1.00119E+11,1.0014E+11,1.00065E+11,1.00381E+11,1.00324E+11
Dominican Republic,1.13419E+13,1.21508E+13,1.3515E+13,1.31343E+13,1.42356E+13,1.44E+13,1.50908E+13,1.61303E+13,1.54912E+13,1.62466E+13,1.693E+13,1.69473E+13,1.68544E+13,1.73791E+13,1.81693E+13,1.79985E+13,1.81253E+13,1.91054E+13,1.9898E+13,1.97573E+13,1.98012E+13,2.07018E+13,2.14009E+13
Ecuador,2.77326E+13,2.93362E+13,2.95436E+13,3.06347E+13,3.19937E+13,3.12696E+13,3.08385E+13,3.19568E+13,3.3056E+13,3.50641E+13,3.61885E+13,3.44752E+13,3.48564E+13,3.34546E+13,3.52393E+13,3.64567E+13,3.27673E+13,3.3649E+13,3.17932E+13,3.3109E+13,3.32885E+13,3.47908E+13,3.23535E+13
